timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1495126533649,1182,Login to application,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group Create Users 1-1,,true,,341298,2549,1,1,0,73,0
1495126534907,186,Get Roles,200,OK,Thread Group Create Users 1-1,text,true,,812,742,1,1,186,0,0
1495126535098,8,BeanShell clean newUsers.csv,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126535108,249,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,249,0,0
1495126535931,14,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,13,0,1
1495126535945,4,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126535950,171,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1043,1,1,171,0,2
1495126536123,3,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,2,0,0
1495126536126,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126536129,217,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,217,0,0
1495126536349,3,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,3,0,0
1495126536353,1,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126536355,200,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,200,0,0
1495126536558,3,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,3,0,0
1495126536561,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126536564,235,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,235,0,0
1495126536802,3,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,3,0,0
1495126536805,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126536808,205,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,204,0,0
1495126537015,6,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,5,0,0
1495126537021,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126537024,209,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,209,0,0
1495126537240,10,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,10,0,0
1495126537251,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126537253,194,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,194,0,0
1495126537449,4,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,4,0,0
1495126537453,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126537456,198,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,198,0,0
1495126537656,3,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,3,0,0
1495126537660,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126537663,197,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,197,0,0
1495126537861,5,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,5,0,0
1495126537866,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126537868,201,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,201,0,0
1495126538073,9,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,9,0,0
1495126538083,1,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126538085,172,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,171,0,5
1495126538259,4,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,3,0,0
1495126538263,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126538265,212,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,212,0,0
1495126538483,3,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,3,0,0
1495126538486,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126538488,211,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,210,0,0
1495126538702,4,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,4,0,0
1495126538707,1,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126538709,197,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,197,0,0
1495126538908,12,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,9,0,0
1495126538920,3,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126538923,216,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1044,1,1,216,0,0
1495126539141,4,JDBC Update User,200,OK,Thread Group Create Users 1-1,text,true,,11,0,1,1,3,0,0
1495126539145,2,BeanShell Write Users to CSV,200,OK,Thread Group Create Users 1-1,text,true,,0,0,1,1,0,0,0
1495126539148,209,Create User,200,OK,Thread Group Create Users 1-1,text,true,,351,1043,1,1,209,0,0
