2017/07/09 13:28:58 INFO  - jmeter.util.JMeterUtils: Setting Locale to ru_RU 
2017/07/09 13:28:59 ERROR - jmeter.util.JMeterUtils: Could not find resources for 'ru_RU' 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Loading user properties from: C:\Performance repo\apache-jmeter-3.1\bin\user.properties 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Loading system properties from: C:\Performance repo\apache-jmeter-3.1\bin\system.properties 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: java.version=1.8.0_131 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: os.name=Windows 10 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: os.arch=amd64 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: os.version=10.0 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: file.encoding=Cp1251 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Max memory     =523763712 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Available Processors =8 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Default Locale=русский (Россия) 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: JMeter  Locale=русский (Россия) 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: JMeterHome=C:\Performance repo\apache-jmeter-3.1 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: user.dir  =C:\Performance repo\apache-jmeter-3.1\bin 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: PWD       =C:\Performance repo\apache-jmeter-3.1\bin 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: IP: 192.168.0.103 Name: DESKTOP-BG077B6 FullName: DESKTOP-BG077B6 
2017/07/09 13:28:59 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2017/07/09 13:28:59 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
